
Analysis Description
--------------------
GARD : Genetic Algorithms for Recombination Detection. Implements a
heuristic approach to screening alignments of sequences for
recombination, by using the CHC genetic algorithm to search for
phylogenetic incongruence among different partitions of the data. The
number of partitions is determined using a step-up procedure, while the
placement of breakpoints is searched for with the GA. The best fitting
model (based on c-AIC) is returned; and additional post-hoc tests run to
distinguish topological incongruence from rate-variation. v0.2 adds and
spooling results to JSON after each breakpoint search conclusion

- __Requirements__: A sequence alignment.

- __Citation__: **Automated Phylogenetic Detection of Recombination Using a Genetic
Algorithm**, _Mol Biol Evol 23(10), 1891–1901

- __Written by__: Sergei L Kosakovsky Pond

- __Contact Information__: spond@temple.edu

- __Analysis Version__: 0.2

type: nucleotide
rv: GDD
>Maximum number of breakpoints to consider (permissible range = [1,100000], default value = 10000, integer): max-breakpoints: 10000
>How many site rate classes to use (permissible range = [2,10], default value = 4, integer): rate-classes: 4
mode: Faster
>Loaded a nucleotide multiple sequence alignment with **16** sequences, **1221** sites (470 of which are variable) from `/Users/alex/Documents/AOC/results/BDNF-64/BDNF-64.RD.SA.codons.cln.fa.cluster.fasta`
>Minimum size of a partition is set to be 29 sites


### Fitting the baseline (single-partition; no breakpoints) model
* Log(L) = -6664.09, AIC-c = 13419.55 (44 estimated parameters)

### Performing an exhaustive single breakpoint analysis
[2K
[GARD] Breakpoint          1 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          2 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          3 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          4 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          5 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          6 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          7 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          8 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint          9 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         10 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         11 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         12 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         13 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         14 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         15 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         16 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         17 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         18 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         19 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         20 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         21 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         22 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         23 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         24 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         25 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         26 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         27 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         28 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         29 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         30 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         31 of 469. Best cAIC =   13419.5473 with no breakpoints.[2K
[GARD] Breakpoint         32 of 469. Best cAIC =   13415.6999 [delta =       3.8475] with breakpoint at site         32[2K
[GARD] Breakpoint         33 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         34 of 469. Best cAIC =   13409.9815 [delta =       9.5658] with breakpoint at site         33[2K
[GARD] Breakpoint         35 of 469. Best cAIC =   13406.8845 [delta =      12.6628] with breakpoint at site         34[2K
[GARD] Breakpoint         36 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         37 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         38 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         39 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         40 of 469. Best cAIC =   13392.8640 [delta =      26.6833] with breakpoint at site         37[2K
[GARD] Breakpoint         41 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         42 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         43 of 469. Best cAIC =   13382.7790 [delta =      36.7683] with breakpoint at site         39[2K
[GARD] Breakpoint         44 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         45 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         46 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         47 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         48 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         49 of 469. Best cAIC =   13381.2778 [delta =      38.2695] with breakpoint at site        148[2K
[GARD] Breakpoint         50 of 469. Best cAIC =   13318.6347 [delta =     100.9127] with breakpoint at site        153[2K
[GARD] Breakpoint         51 of 469. Best cAIC =   13317.5932 [delta =     101.9542] with breakpoint at site        154[2K
[GARD] Breakpoint         52 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         53 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         54 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         55 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         56 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         57 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         58 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         59 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         60 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         61 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         62 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         63 of 469. Best cAIC =   13282.1973 [delta =     137.3500] with breakpoint at site        155[2K
[GARD] Breakpoint         64 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         65 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         66 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         67 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         68 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint         69 of 469. Best cAIC =   13245.6380 [delta =     173.9094] with breakpoint at site        166[2K
[GARD] Breakpoint        144 of 469. Best cAIC =   13021.2017 [delta =     398.3456] with breakpoint at site        298[2K
[GARD] Breakpoint        145 of 469. Best cAIC =   13021.2017 [delta =     398.3456] with breakpoint at site        298[2K
[GARD] Breakpoint        146 of 469. Best cAIC =   13021.2017 [delta =     398.3456] with breakpoint at site        298[2K
[GARD] Breakpoint        147 of 469. Best cAIC =   13008.7016 [delta =     410.8458] with breakpoint at site        300[2K
[GARD] Breakpoint        148 of 469. Best cAIC =   13008.7016 [delta =     410.8458] with breakpoint at site        300[2K
[GARD] Breakpoint        149 of 469. Best cAIC =   13005.0457 [delta =     414.5016] with breakpoint at site        301[2K
[GARD] Breakpoint        150 of 469. Best cAIC =   12990.4004 [delta =     429.1470] with breakpoint at site        302[2K
[GARD] Breakpoint        151 of 469. Best cAIC =   12986.3660 [delta =     433.1814] with breakpoint at site        305[2K
[GARD] Breakpoint        152 of 469. Best cAIC =   12983.0354 [delta =     436.5120] with breakpoint at site        304[2K
[GARD] Breakpoint        153 of 469. Best cAIC =   12983.0354 [delta =     436.5120] with breakpoint at site        304[2K
[GARD] Breakpoint        154 of 469. Best cAIC =   12981.4316 [delta =     438.1157] with breakpoint at site        306[2K
[GARD] Breakpoint        155 of 469. Best cAIC =   12948.7805 [delta =     470.7668] with breakpoint at site        312[2K
[GARD] Breakpoint        156 of 469. Best cAIC =   12948.7805 [delta =     470.7668] with breakpoint at site        312[2K
[GARD] Breakpoint        157 of 469. Best cAIC =   12948.7805 [delta =     470.7668] with breakpoint at site        312[2K
[GARD] Breakpoint        158 of 469. Best cAIC =   12948.7805 [delta =     470.7668] with breakpoint at site        312[2K
[GARD] Breakpoint        159 of 469. Best cAIC =   12944.8441 [delta =     474.7032] with breakpoint at site        314[2K
[GARD] Breakpoint        160 of 469. Best cAIC =   12936.0431 [delta =     483.5042] with breakpoint at site        316[2K
[GARD] Breakpoint        161 of 469. Best cAIC =   12924.4443 [delta =     495.1030] with breakpoint at site        317[2K
[GARD] Breakpoint        162 of 469. Best cAIC =   12924.4443 [delta =     495.1030] with breakpoint at site        317[2K
[GARD] Breakpoint        163 of 469. Best cAIC =   12918.6225 [delta =     500.9249] with breakpoint at site        318[2K
[GARD] Breakpoint        164 of 469. Best cAIC =   12908.5164 [delta =     511.0310] with breakpoint at site        320[2K
[GARD] Breakpoint        165 of 469. Best cAIC =   12901.2057 [delta =     518.3417] with breakpoint at site        321[2K
[GARD] Breakpoint        166 of 469. Best cAIC =   12901.2057 [delta =     518.3417] with breakpoint at site        321[2K
[GARD] Breakpoint        167 of 469. Best cAIC =   12885.4072 [delta =     534.1401] with breakpoint at site        322[2K
[GARD] Breakpoint        168 of 469. Best cAIC =   12881.0991 [delta =     538.4483] with breakpoint at site        323[2K
[GARD] Breakpoint        169 of 469. Best cAIC =   12851.6433 [delta =     567.9040] with breakpoint at site        325[2K
[GARD] Breakpoint        170 of 469. Best cAIC =   12851.6433 [delta =     567.9040] with breakpoint at site        325[2K
[GARD] Breakpoint        171 of 469. Best cAIC =   12851.6433 [delta =     567.9040] with breakpoint at site        325[2K
[GARD] Breakpoint        172 of 469. Best cAIC =   12851.6433 [delta =     567.9040] with breakpoint at site        325[2K
[GARD] Breakpoint        173 of 469. Best cAIC =   12838.5201 [delta =     581.0273] with breakpoint at site        329[2K
[GARD] Breakpoint        174 of 469. Best cAIC =   12827.7985 [delta =     591.7489] with breakpoint at site        330[2K
[GARD] Breakpoint        175 of 469. Best cAIC =   12827.7985 [delta =     591.7489] with breakpoint at site        330[2K
[GARD] Breakpoint        176 of 469. Best cAIC =   12826.1060 [delta =     593.4414] with breakpoint at site        331[2K
[GARD] Breakpoint        177 of 469. Best cAIC =   12825.0448 [delta =     594.5025] with breakpoint at site        334[2K
[GARD] Breakpoint        178 of 469. Best cAIC =   12819.5199 [delta =     600.0274] with breakpoint at site        333[2K
[GARD] Breakpoint        179 of 469. Best cAIC =   12815.2475 [delta =     604.2998] with breakpoint at site        335[2K
[GARD] Breakpoint        180 of 469. Best cAIC =   12815.2475 [delta =     604.2998] with breakpoint at site        335[2K
[GARD] Breakpoint        181 of 469. Best cAIC =   12803.9144 [delta =     615.6330] with breakpoint at site        336[2K
[GARD] Breakpoint        182 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        183 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        184 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        185 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        186 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        187 of 469. Best cAIC =   12776.6432 [delta =     642.9041] with breakpoint at site        338[2K
[GARD] Breakpoint        188 of 469. Best cAIC =   12773.2353 [delta =     646.3121] with breakpoint at site        358[2K
[GARD] Breakpoint        189 of 469. Best cAIC =   12773.2353 [delta =     646.3121] with breakpoint at site        358[2K
[GARD] Breakpoint        190 of 469. Best cAIC =   12770.3759 [delta =     649.1714] with breakpoint at site        360[2K
[GARD] Breakpoint        191 of 469. Best cAIC =   12769.3572 [delta =     650.1901] with breakpoint at site        359[2K
[GARD] Breakpoint        192 of 469. Best cAIC =   12767.1194 [delta =     652.4280] with breakpoint at site        361[2K
[GARD] Breakpoint        193 of 469. Best cAIC =   12767.1194 [delta =     652.4280] with breakpoint at site        361[2K
[GARD] Breakpoint        194 of 469. Best cAIC =   12767.1194 [delta =     652.4280] with breakpoint at site        361[2K
[GARD] Breakpoint        195 of 469. Best cAIC =   12766.1244 [delta =     653.4229] with breakpoint at site        364[2K
[GARD] Breakpoint        196 of 469. Best cAIC =   12762.1153 [delta =     657.4320] with breakpoint at site        366[2K
[GARD] Breakpoint        197 of 469. Best cAIC =   12762.1153 [delta =     657.4320] with breakpoint at site        366[2K
[GARD] Breakpoint        198 of 469. Best cAIC =   12762.1153 [delta =     657.4320] with breakpoint at site        366[2K
[GARD] Breakpoint        199 of 469. Best cAIC =   12739.1603 [delta =     680.3870] with breakpoint at site        368[2K
[GARD] Breakpoint        200 of 469. Best cAIC =   12739.1603 [delta =     680.3870] with breakpoint at site        368[2K
[GARD] Breakpoint        201 of 469. Best cAIC =   12739.1603 [delta =     680.3870] with breakpoint at site        368[2K
[GARD] Breakpoint        202 of 469. Best cAIC =   12739.1603 [delta =     680.3870] with breakpoint at site        368[2K
[GARD] Breakpoint        203 of 469. Best cAIC =   12739.1603 [delta =     680.3870] with breakpoint at site        368[2K
[GARD] Breakpoint        204 of 469. Best cAIC =   12734.1328 [delta =     685.4145] with breakpoint at site        374[2K
[GARD] Breakpoint        205 of 469. Best cAIC =   12732.4527 [delta =     687.0947] with breakpoint at site        375[2K
[GARD] Breakpoint        206 of 469. Best cAIC =   12732.4527 [delta =     687.0947] with breakpoint at site        375[2K
[GARD] Breakpoint        207 of 469. Best cAIC =   12719.6300 [delta =     699.9173] with breakpoint at site        377[2K
[GARD] Breakpoint        208 of 469. Best cAIC =   12719.6300 [delta =     699.9173] with breakpoint at site        377[2K
[GARD] Breakpoint        209 of 469. Best cAIC =   12719.6300 [delta =     699.9173] with breakpoint at site        377[2K
[GARD] Breakpoint        210 of 469. Best cAIC =   12690.7741 [delta =     728.7733] with breakpoint at site        380[2K
[GARD] Breakpoint        211 of 469. Best cAIC =   12690.7741 [delta =     728.7733] with breakpoint at site        380[2K
[GARD] Breakpoint        212 of 469. Best cAIC =   12690.7741 [delta =     728.7733] with breakpoint at site        380[2K
[GARD] Breakpoint        213 of 469. Best cAIC =   12687.0527 [delta =     732.4947] with breakpoint at site        381[2K
[GARD] Breakpoint        214 of 469. Best cAIC =   12660.3616 [delta =     759.1857] with breakpoint at site        385[2K
[GARD] Breakpoint        215 of 469. Best cAIC =   12660.3616 [delta =     759.1857] with breakpoint at site        385[2K
[GARD] Breakpoint        216 of 469. Best cAIC =   12660.3616 [delta =     759.1857] with breakpoint at site        385[2K
[GARD] Breakpoint        217 of 469. Best cAIC =   12660.3616 [delta =     759.1857] with breakpoint at site        385[2K
[GARD] Breakpoint        218 of 469. Best cAIC =   12651.7143 [delta =     767.8330] with breakpoint at site        387[2K
[GARD] Breakpoint        219 of 469. Best cAIC =   12602.6506 [delta =     816.8968] with breakpoint at site        389[2K
[GARD] Breakpoint        220 of 469. Best cAIC =   12587.8772 [delta =     831.6702] with breakpoint at site        391[2K
[GARD] Breakpoint        221 of 469. Best cAIC =   12581.0514 [delta =     838.4960] with breakpoint at site        390[2K
[GARD] Breakpoint        222 of 469. Best cAIC =   12581.0514 [delta =     838.4960] with breakpoint at site        390[2K
[GARD] Breakpoint        223 of 469. Best cAIC =   12581.0514 [delta =     838.4960] with breakpoint at site        390[2K
[GARD] Breakpoint        224 of 469. Best cAIC =   12562.0110 [delta =     857.5364] with breakpoint at site        394[2K
[GARD] Breakpoint        225 of 469. Best cAIC =   12562.0110 [delta =     857.5364] with breakpoint at site        394[2K
[GARD] Breakpoint        226 of 469. Best cAIC =   12547.1812 [delta =     872.3662] with breakpoint at site        396[2K
[GARD] Breakpoint        227 of 469. Best cAIC =   12533.1873 [delta =     886.3600] with breakpoint at site        397[2K
[GARD] Breakpoint        228 of 469. Best cAIC =   12533.1873 [delta =     886.3600] with breakpoint at site        397[2K
[GARD] Breakpoint        229 of 469. Best cAIC =   12451.3096 [delta =     968.2378] with breakpoint at site        400[2K
[GARD] Breakpoint        230 of 469. Best cAIC =   12451.3096 [delta =     968.2378] with breakpoint at site        400[2K
[GARD] Breakpoint        231 of 469. Best cAIC =   12412.8309 [delta =    1006.7165] with breakpoint at site        401[2K
[GARD] Breakpoint        232 of 469. Best cAIC =   12412.8309 [delta =    1006.7165] with breakpoint at site        401[2K
[GARD] Breakpoint        233 of 469. Best cAIC =   12372.2611 [delta =    1047.2862] with breakpoint at site        403[2K
[GARD] Breakpoint        234 of 469. Best cAIC =   12372.2611 [delta =    1047.2862] with breakpoint at site        403[2K
[GARD] Breakpoint        235 of 469. Best cAIC =   12369.2889 [delta =    1050.2584] with breakpoint at site        404[2K
[GARD] Breakpoint        236 of 469. Best cAIC =   12320.5494 [delta =    1098.9980] with breakpoint at site        407[2K
[GARD] Breakpoint        237 of 469. Best cAIC =   12320.5494 [delta =    1098.9980] with breakpoint at site        407[2K
[GARD] Breakpoint        238 of 469. Best cAIC =   12320.5494 [delta =    1098.9980] with breakpoint at site        407[2K
[GARD] Breakpoint        239 of 469. Best cAIC =   12312.7064 [delta =    1106.8410] with breakpoint at site        408[2K
[GARD] Breakpoint        240 of 469. Best cAIC =   12273.5441 [delta =    1146.0032] with breakpoint at site        409[2K
[GARD] Breakpoint        241 of 469. Best cAIC =   12273.5441 [delta =    1146.0032] with breakpoint at site        409[2K
[GARD] Breakpoint        242 of 469. Best cAIC =   12273.5441 [delta =    1146.0032] with breakpoint at site        409[2K
[GARD] Breakpoint        243 of 469. Best cAIC =   12273.5441 [delta =    1146.0032] with breakpoint at site        409[2K
[GARD] Breakpoint        244 of 469. Best cAIC =   12176.7665 [delta =    1242.7809] with breakpoint at site        414[2K
[GARD] Breakpoint        245 of 469. Best cAIC =   12176.7665 [delta =    1242.7809] with breakpoint at site        414[2K
[GARD] Breakpoint        246 of 469. Best cAIC =   12168.5379 [delta =    1251.0095] with breakpoint at site        416[2K
[GARD] Breakpoint        247 of 469. Best cAIC =   12168.5379 [delta =    1251.0095] with breakpoint at site        416[2K
[GARD] Breakpoint        248 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        249 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        250 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        251 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        252 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        253 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        254 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        255 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        256 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        257 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        258 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        259 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        260 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        261 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        262 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        263 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        264 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        265 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        266 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        267 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        268 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        269 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        270 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        271 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        272 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        273 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        274 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        275 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        276 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        277 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        278 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        279 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        280 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        281 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        282 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        283 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        284 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        285 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        286 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        287 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        288 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        289 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        290 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        291 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        292 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        293 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        294 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        295 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        296 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        297 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        298 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        299 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        300 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        301 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        302 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        303 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        304 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        305 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        306 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        307 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        308 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        309 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        310 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        311 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        312 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        313 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        314 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        315 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        316 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
[GARD] Breakpoint        317 of 469. Best cAIC =   12162.5062 [delta =    1257.0412] with breakpoint at site        415[2K
